symbol,close,open,high,low,volume
BANDHANBNK.NS,164.7,164.95,166.42,161.67,5204215
BANKBARODA.NS,237,240,240.9,235.2,6824391
BANKINDIA.NS,142.02,145,145.5,141.44,3604727
BASF.NS,3788,3875,3879.8,3780,20383
BATAINDIA.NS,669.45,672.75,675,667.5,68230
BAYERCROP.NS,3987.4,4009.8,4010.8,3966,7323
BBTC.NS,1471.9,1517.6,1524.5,1468.1,58433
BDL.NS,1241.7,1258,1267,1240,807688
BEL.NS,404,406.35,409.25,404,5965784
BEML.NS,2097.2,2067,2125,2060.7,487014
BERGEPAINT.NS,484.50,485.40,488.95,480.55,305409
BHARATFORG.NS,1955,1953,1955.9,1927.3,1414192
BHARTIARTL.NS,1854,1845,1855.5,1830.4,5972458
BHARTIHEXA.NS,1528.7,1502.8,1534.6,1498,83814
BHEL.NS,421.45,432.9,434.95,418.55,4092933
BIKAJI.NS,580.25,585.1,587,577.1,73330
BIOCON.NS,391.4,396.5,397.35,388.65,2488189
BLS.NS,239.17,239,244.07,238.2,877913
BLUEDART.NS,4988.8,4991.7,4996.6,4953,4441
BLUEJET.NS,569.05,570.8,572.9,561,454178
BLUESTARCO.NS,1496,1477.3,1503.3,1476.4,503988
BOSCHLTD.NS,48025,46750,48550,46535,54963
BPCL.NS,312.9,314.9,316.7,311.2,2363459
BRIGADE.NS,679.05,700,704.85,672.9,867916
BRITANNIA.NS,5042.5,5126,5126,5005.5,307760
BSE.NS,3446.2,3430,3474.5,3420,3952983
BSOFT.NS,282.45,289.35,289.4,281.15,1074663
CAMPUS.NS,218.77,222.91,222.91,217.2,487844
CAMS.NS,736.5,748,748.8,736.5,452436
CANBK.NS,124,125.8,126.35,124,9628580
CANFINHOME.NS,805.45,805.8,814.4,795,378816
CAPLIPOINT.NS,2814,2797.1,2836,2778,111399
CARBORUNIV.NS,1104,1139.4,1151,1095,237087
CASTROLIND.NS,189.01,191.8,191.8,188.17,1639217
CCL.NS,1097.4,1103.8,1109.9,1085,151259
CDSL.NS,1414.9,1392.1,1438,1383.8,2731594
CEATLTD.NS,3336.1,3368,3368,3287,55616
CENTRALBK.NS,30.96,31.03,31.15,30.8,3821575
CENTURYPLY.NS,739.3,750.25,760,736.1,37954
CERA.NS,5743.5,5787.5,5799,5712,2630
CESC.NS,145.44,146.5,150,145,1756003
CGCL.NS,275.7,282.7,287.45,273.1,6271786
CGPOWER.NS,895,902,912.05,894.25,3937949
CHALET.NS,908.75,900,913.45,893.1,144926
CHAMBLFERT.NS,418.05,420,421.95,416.45,364232
CHENNPETRO.NS,1430.2,1455,1461.4,1417,567726
CHOICEIN.NS,755.65,762,768.95,751.85,290500
CHOLAFIN.NS,1848.2,1838.6,1848.2,1798.3,876074
CHOLAHLDNG.NS,1520.7,1523,1533.1,1495.3,60819
CIPLA.NS,1395,1380,1395.7,1376.8,606497
CLEAN.NS,844.4,831.95,858.7,829.6,386433
COALINDIA.NS,418.85,416.6,420.3,413.3,13592701
COCHINSHIP.NS,1506.4,1498.2,1520.4,1490.1,615515
COFORGE.NS,1935,1958,1958.6,1920.4,1187703
COHANCE.NS,449.55,450,458.2,443.5,845966
COLPAL.NS,1813.5,1836,1838.9,1807.3,289793
CONCOR.NS,503.9,507.9,510.3,501.3,705152
CONCORDBIO.NS,1443.2,1417.1,1456.1,1417,62119
COROMANDEL.NS,1974.6,1937.1,1980,1925.1,86472
CRAFTSMAN.NS,11297,11456,11456,11100,27397
CREDITACC.NS,1427.2,1448,1448.5,1420,110842
CRISIL.NS,4786.6,4800,4838.7,4769,26082
CROMPTON.NS,231.02,231.99,233.18,229.63,1668593
CUB.NS,238.48,235.5,248.85,234.2,6586154
CUMMINSIND.NS,5030,5035,5072,4985,201783
CYIENT.NS,1105.4,1098.1,1117.6,1074.2,362143
DABUR.NS,375.5,380.9,381.8,373.8,2530210
DALBHARAT.NS,1713.9,1750,1752.1,1701.2,81213
DATAPATTNS.NS,4590.8,4569.1,4644,4554.3,304258
DBREALTY.NS,100.88,103.25,103.25,100.12,833894
DCMSHRIRAM.NS,1011.2,1019.9,1025.4,1005,56453
DEEPAKFERT.NS,1344.2,1362,1368.9,1337.2,194988
DEEPAKNTR.NS,1642.1,1712.4,1728.3,1636.5,424929
DELHIVERY.NS,453.8,456,458.75,450.4,583502
DEVYANI.NS,138.8,138.93,140.57,137.11,1286011
DIVISLAB.NS,9315,9119.5,9315,9119.5,502162
DIXON.NS,14180,14227,14429,13937,377556
DLF.NS,672.7,685,685,672.7,1252534
DMART.NS,3710,3757,3768.9,3682.3,303872
DOMS.NS,2201.5,2203,2225,2195,28632
DRREDDY.NS,1144.2,1150.5,1163.2,1141.8,420952
ECLERX.NS,1888.8,1905.7,1910.7,1858,171958
EICHERMOT.NS,7672,7658,7729,7615,466050
EIDPARRY.NS,777.7,782,796.8,771.25,301706
EIHOTEL.NS,294,294,294.85,290.5,112598
